Packet_No,Time,Inter_Arrival_Time,Source_IP,Destination_IP,Protocol,Src_Port,Dst_Port,TCP_Flags,TCP_Anomaly_Flag,Is_TCP_Retransmission_Event,Seq,Ack,Win,Payload_Len,DNS_Query_Type,DNS_Query_Name,TLS_SNI,ARP_Target_IP,Packet_Length,Packet_Info,Attack_Type,Label
1,0.0,0.0,10.33.33.87,42.106.164.51,UDP,62467,443,,,False,,,,1244,,,,,1286,62467  >  443 Len=1244,Aggressive_Scan,Anomalous
2,0.0001091,0.0001091,10.33.33.87,42.106.164.51,UDP,62467,443,,,False,,,,1250,,,,,1292,62467  >  443 Len=1250,Aggressive_Scan,Anomalous
3,0.0001301,2.0999999999999995e-05,10.33.33.87,42.106.164.51,UDP,62467,443,,,False,,,,1023,,,,,1065,62467  >  443 Len=1023,Aggressive_Scan,Anomalous
4,0.0889681,0.088838,42.106.164.51,10.33.33.87,UDP,443,62467,,,False,,,,27,,,,,73,443  >  62467 Len=27,Aggressive_Scan,Anomalous
5,0.1129725,0.02400440000000001,10.33.33.87,42.106.164.51,UDP,62467,443,,,False,,,,1029,,,,,1071,62467  >  443 Len=1029,Aggressive_Scan,Anomalous
6,0.1180584,0.00508589999999999,42.106.164.51,10.33.33.87,UDP,443,62467,,,False,,,,24,,,,,70,443  >  62467 Len=24,Aggressive_Scan,Anomalous
7,0.1644715,0.0464131,42.106.164.51,10.33.33.87,UDP,443,62467,,,False,,,,22,,,,,68,443  >  62467 Len=22,Aggressive_Scan,Anomalous
8,0.164917,0.00044550000000001533,10.33.33.87,42.106.164.51,UDP,62467,443,,,False,,,,33,,,,,75,62467  >  443 Len=33,Aggressive_Scan,Anomalous
9,0.1720493,0.00713229999999998,42.106.164.51,10.33.33.87,UDP,443,62467,,,False,,,,25,,,,,71,443  >  62467 Len=25,Aggressive_Scan,Anomalous
10,0.2526495,0.08060020000000004,42.106.164.51,10.33.33.87,UDP,443,62467,,,False,,,,82,,,,,128,443  >  62467 Len=82,Aggressive_Scan,Anomalous
11,0.2526503,7.999999999674934e-07,42.106.164.51,10.33.33.87,UDP,443,62467,,,False,,,,21,,,,,67,443  >  62467 Len=21,Aggressive_Scan,Anomalous
12,0.2534022,0.0007519000000000275,10.33.33.87,42.106.164.51,UDP,62467,443,,,False,,,,37,,,,,79,62467  >  443 Len=37,Aggressive_Scan,Anomalous
13,0.2535408,0.00013859999999998873,10.33.33.87,42.106.164.51,UDP,62467,443,,,False,,,,33,,,,,75,62467  >  443 Len=33,Aggressive_Scan,Anomalous
14,0.3292831,0.07574229999999998,42.106.164.51,10.33.33.87,UDP,443,62467,,,False,,,,24,,,,,70,443  >  62467 Len=24,Aggressive_Scan,Anomalous
15,0.3413025,0.012019400000000013,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,HTTPS,android.clients.google.com,,,86,Standard query 0xbf32 HTTPS android.clients.google.com,Aggressive_Scan,Anomalous
16,0.3422895,0.0009870000000000156,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,AAAA,android.clients.google.com,,,86,Standard query 0xa909 AAAA android.clients.google.com,Aggressive_Scan,Anomalous
17,0.3431652,0.0008756999999999793,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,A,android.clients.google.com,,,86,Standard query 0x6ed7 A android.clients.google.com,Aggressive_Scan,Anomalous
18,0.3684676,0.025302400000000003,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,110,Standard query response 0xa909 AAAA android.clients.google.com CNAME android.l.google.com,Aggressive_Scan,Anomalous
19,0.3697954,0.00132779999999999,10.33.33.40,10.33.33.107,TCP,37558,53,SYN,,False,0,,64240,0,,,,,74,37558  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2969119469 TSecr=0 WS=128,Aggressive_Scan,Anomalous
20,0.3698229,2.7500000000013625e-05,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,366,Standard query response 0x6ed7 A android.clients.google.com CNAME android.l.google.com A 142.250.206.142 A 142.250.194.238 A 142.250.195.14 A 142.250.207.206 A 142.250.195.46 A 142.250.206.110 A 142.250.71.110 A 142.250.205.206 A 142.250.143.113 A 142.250.143.138 A 142.250.146.100 A 142.250.146.101 A 142.250.146.138 A 142.250.146.139 A 142.250.146.102 A 142.250.146.113,Aggressive_Scan,Anomalous
21,0.3698732,5.030000000000312e-05,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,160,Standard query response 0xbf32 HTTPS android.clients.google.com CNAME android.l.google.com SOA ns1.google.com,Aggressive_Scan,Anomalous
22,0.3724602,0.002587000000000006,10.33.33.107,10.33.33.40,TCP,53,37558,"SYN,ACK",,False,0,1,65535,0,,,,,74,"53  >  37558 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=48710483 TSecr=2969119469 WS=512",Aggressive_Scan,Anomalous
23,0.3767084,0.00424819999999998,10.33.33.40,10.33.33.107,TCP,37558,53,ACK,,False,1,1,64256,0,,,,,66,37558  >  53 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2969119476 TSecr=48710483,Aggressive_Scan,Anomalous
24,0.3801926,0.003484199999999993,10.33.33.40,10.33.33.107,TCP,37558,53,"PSH,ACK",,False,1,1,64256,2,,,,,68,"37558  >  53 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=2 TSval=2969119480 TSecr=48710483 [TCP PDU reassembled in 26]",Aggressive_Scan,Anomalous
25,0.3826995,0.002506900000000034,10.33.33.107,10.33.33.40,TCP,53,37558,ACK,,False,1,3,65536,0,,,,,66,53  >  37558 [ACK] Seq=1 Ack=3 Win=65536 Len=0 TSval=48710493 TSecr=2969119480,Aggressive_Scan,Anomalous
26,0.3879377,0.005238199999999971,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,AAAA,android.clients.google.com,,,110,Standard query 0xbea5 AAAA android.clients.google.com,Aggressive_Scan,Anomalous
27,0.390458,0.002520300000000031,10.33.33.107,10.33.33.40,TCP,53,37558,ACK,,False,1,47,65536,0,,,,,66,53  >  37558 [ACK] Seq=1 Ack=47 Win=65536 Len=0 TSval=48710501 TSecr=2969119487,Aggressive_Scan,Anomalous
28,0.6865162,0.2960582,10.33.33.40,10.33.33.107,TCP,37558,53,"FIN,ACK",,False,47,1,64256,0,,,,,66,"37558  >  53 [FIN, ACK] Seq=47 Ack=1 Win=64256 Len=0 TSval=2969119786 TSecr=48710501",Aggressive_Scan,Anomalous
29,0.6886364,0.0021202000000000165,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,A,android.clients.google.com,,,86,Standard query 0xe977 A android.clients.google.com,Aggressive_Scan,Anomalous
30,0.689793,0.0011565999999999521,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,AAAA,android.clients.google.com,,,86,Standard query 0x3c72 AAAA android.clients.google.com,Aggressive_Scan,Anomalous
31,0.692045,0.0022520000000000318,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,376,Standard query response 0xe977 A android.clients.google.com CNAME android.l.google.com A 142.250.146.113 A 142.250.146.102 A 142.250.146.139 A 142.250.146.138 A 142.250.146.101 A 142.250.146.100 A 142.250.143.138 A 142.250.143.113 A 142.250.205.206 A 142.250.71.110 A 142.250.206.110 A 142.250.195.46 A 142.250.207.206 A 142.250.195.14 A 142.250.194.238 A 142.250.206.142,Aggressive_Scan,Anomalous
32,0.7324192,0.04037420000000003,10.33.33.107,10.33.33.40,TCP,53,37558,ACK,,False,1,48,65536,0,,,,,66,53  >  37558 [ACK] Seq=1 Ack=48 Win=65536 Len=0 TSval=48710840 TSecr=2969119786,Aggressive_Scan,Anomalous
33,0.7376405,0.005221299999999984,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,110,Standard query response 0x3c72 AAAA android.clients.google.com CNAME android.l.google.com,Aggressive_Scan,Anomalous
34,0.7379595,0.0003189999999999582,10.33.33.40,10.33.33.107,TCP,37560,53,SYN,,False,0,,64240,0,,,,,74,37560  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2969119838 TSecr=0 WS=128,Aggressive_Scan,Anomalous
35,0.7472999,0.009340400000000026,10.33.33.107,10.33.33.40,TCP,53,37560,"SYN,ACK",,False,0,1,65535,0,,,,,74,"53  >  37560 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=48710851 TSecr=2969119838 WS=512",Aggressive_Scan,Anomalous
36,0.7480176,0.0007176999999999323,10.33.33.40,10.33.33.107,TCP,37560,53,ACK,,False,1,1,64256,0,,,,,66,37560  >  53 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2969119848 TSecr=48710851,Aggressive_Scan,Anomalous
37,0.7483794,0.0003618000000000787,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,A,"android.clients.google.com,",,,158,"Standard query 0xe977 A android.clients.google.com, Standard query 0x3c72 AAAA android.clients.google.com",Aggressive_Scan,Anomalous
38,0.7558345,0.007455099999999937,10.33.33.107,10.33.33.40,TCP,53,37560,ACK,,False,1,93,65536,0,,,,,66,53  >  37560 [ACK] Seq=1 Ack=93 Win=65536 Len=0 TSval=48710866 TSecr=2969119848,Aggressive_Scan,Anomalous
39,3.6234127,2.8675781999999996,160.79.104.10,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,101,Application Data,Aggressive_Scan,Anomalous
40,3.6263157,0.002903000000000322,10.33.33.87,160.79.104.10,TLSV1.2,,,,,False,,,,,,,,,89,Application Data,Aggressive_Scan,Anomalous
41,3.6264288,0.00011309999999964404,10.33.33.87,160.79.104.10,TLSV1.2,,,,,False,,,,,,,,,89,Application Data,Aggressive_Scan,Anomalous
