Packet_No,Time,Inter_Arrival_Time,Source_IP,Destination_IP,Protocol,Src_Port,Dst_Port,TCP_Flags,TCP_Anomaly_Flag,Is_TCP_Retransmission_Event,Seq,Ack,Win,Payload_Len,DNS_Query_Type,DNS_Query_Name,TLS_SNI,ARP_Target_IP,Packet_Length,Packet_Info,Attack_Type,Label
1,0.0,0.0,10.33.33.87,13.107.226.37,TCP,37530,443,ACK,,False,1,1,252,1,,,,,55,37530  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1,Full_Port_Scan,Anomalous
2,0.0989441,0.0989441,13.107.226.37,10.33.33.87,TCP,443,37530,ACK,,False,1,2,148,0,,,,,70,443  >  37530 [ACK] Seq=1 Ack=2 Win=148 Len=0 SLE=1 SRE=2,Full_Port_Scan,Anomalous
3,0.280058,0.1811139,10.33.33.87,13.107.42.254,TCP,32032,443,ACK,,False,1,1,250,1,,,,,55,32032  >  443 [ACK] Seq=1 Ack=1 Win=250 Len=1,Full_Port_Scan,Anomalous
4,0.3191707,0.0391127,13.107.42.254,10.33.33.87,TCP,443,32032,ACK,,False,1,2,16388,0,,,,,70,443  >  32032 [ACK] Seq=1 Ack=2 Win=16388 Len=0 SLE=1 SRE=2,Full_Port_Scan,Anomalous
5,0.5569572,0.23778650000000007,10.33.33.87,13.107.138.254,TCP,7744,443,ACK,,False,1,1,251,1,,,,,55,7744  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1,Full_Port_Scan,Anomalous
6,0.6104475,0.05349029999999999,13.107.138.254,10.33.33.87,TCP,443,7744,ACK,,False,1,2,49152,0,,,,,70,443  >  7744 [ACK] Seq=1 Ack=2 Win=49152 Len=0 SLE=1 SRE=2,Full_Port_Scan,Anomalous
7,0.6356844,0.025236900000000007,4.213.25.242,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,427,Application Data,Full_Port_Scan,Anomalous
8,0.6410528,0.00536839999999994,10.33.33.87,4.213.25.242,TLSV1.2,,,,,False,,,,,,,,,188,Application Data,Full_Port_Scan,Anomalous
9,0.6498249,0.00877210000000006,10.33.33.87,1.38.2.36,TCP,30858,443,ACK,,False,1,1,254,1,,,,,55,30858  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1,Full_Port_Scan,Anomalous
10,0.6756619,0.025837,1.38.2.36,10.33.33.87,TCP,443,30858,ACK,,False,1,2,60,0,,,,,58,443  >  30858 [ACK] Seq=1 Ack=2 Win=60 Len=0,Full_Port_Scan,Anomalous
11,0.7301316,0.054469699999999954,4.213.25.242,10.33.33.87,TCP,443,49411,ACK,,False,370,135,7589,0,,,,,58,443  >  49411 [ACK] Seq=370 Ack=135 Win=7589 Len=0,Full_Port_Scan,Anomalous
