Packet_No,Time,Inter_Arrival_Time,Source_IP,Destination_IP,Protocol,Src_Port,Dst_Port,TCP_Flags,TCP_Anomaly_Flag,Is_TCP_Retransmission_Event,Seq,Ack,Win,Payload_Len,DNS_Query_Type,DNS_Query_Name,TLS_SNI,ARP_Target_IP,Packet_Length,Packet_Info,Attack_Type,Label
1,0.0,0.0,160.79.104.10,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,101,Application Data,HTTP_Burst,Anomalous
2,0.002866,0.002866,10.33.33.87,160.79.104.10,TLSV1.2,,,,,False,,,,,,,,,89,Application Data,HTTP_Burst,Anomalous
3,0.0030005,0.00013450000000000007,10.33.33.87,160.79.104.10,TLSV1.2,,,,,False,,,,,,,,,89,Application Data,HTTP_Burst,Anomalous
4,0.0490254,0.046024899999999994,160.79.104.10,10.33.33.87,TCP,443,33438,ACK,,False,44,71,18,0,,,,,58,443  >  33438 [ACK] Seq=44 Ack=71 Win=18 Len=0,HTTP_Burst,Anomalous
5,1.3420025,1.2929770999999999,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,1,1,508,1340,,,,,1394,63074  >  443 [ACK] Seq=1 Ack=1 Win=508 Len=1340 [TCP PDU reassembled in 17],HTTP_Burst,Anomalous
6,1.3420025,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,1341,1,508,1340,,,,,1394,63074  >  443 [ACK] Seq=1341 Ack=1 Win=508 Len=1340 [TCP PDU reassembled in 17],HTTP_Burst,Anomalous
7,1.3420025,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,2681,1,508,1340,,,,,1394,63074  >  443 [ACK] Seq=2681 Ack=1 Win=508 Len=1340 [TCP PDU reassembled in 17],HTTP_Burst,Anomalous
8,1.3420025,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,4021,1,508,1340,,,,,1394,63074  >  443 [ACK] Seq=4021 Ack=1 Win=508 Len=1340 [TCP PDU reassembled in 17],HTTP_Burst,Anomalous
9,1.3420025,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,5361,1,508,1340,,,,,1394,63074  >  443 [ACK] Seq=5361 Ack=1 Win=508 Len=1340 [TCP PDU reassembled in 17],HTTP_Burst,Anomalous
10,1.3420025,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,6701,1,508,1340,,,,,1394,63074  >  443 [ACK] Seq=6701 Ack=1 Win=508 Len=1340 [TCP PDU reassembled in 17],HTTP_Burst,Anomalous
11,1.3420025,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,8041,1,508,1340,,,,,1394,63074  >  443 [ACK] Seq=8041 Ack=1 Win=508 Len=1340 [TCP PDU reassembled in 17],HTTP_Burst,Anomalous
12,1.3420025,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,9381,1,508,1340,,,,,1394,63074  >  443 [ACK] Seq=9381 Ack=1 Win=508 Len=1340 [TCP PDU reassembled in 17],HTTP_Burst,Anomalous
13,1.3420025,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,10721,1,508,1340,,,,,1394,63074  >  443 [ACK] Seq=10721 Ack=1 Win=508 Len=1340 [TCP PDU reassembled in 17],HTTP_Burst,Anomalous
14,1.3420025,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,12061,1,508,1340,,,,,1394,63074  >  443 [ACK] Seq=12061 Ack=1 Win=508 Len=1340 [TCP PDU reassembled in 17],HTTP_Burst,Anomalous
15,1.3420025,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,13401,1,508,1340,,,,,1394,63074  >  443 [ACK] Seq=13401 Ack=1 Win=508 Len=1340 [TCP PDU reassembled in 17],HTTP_Burst,Anomalous
16,1.3420025,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,14741,1,508,1340,,,,,1394,63074  >  443 [ACK] Seq=14741 Ack=1 Win=508 Len=1340 [TCP PDU reassembled in 17],HTTP_Burst,Anomalous
17,1.3420025,0.0,10.33.33.87,104.18.32.47,TLSV1.2,,,,,False,,,,,,,,,380,Application Data,HTTP_Burst,Anomalous
18,1.3424447,0.0004421999999999482,10.33.33.87,104.18.32.47,TLSV1.2,,,,,False,,,,,,,,,1108,Application Data,HTTP_Burst,Anomalous
19,1.4360322,0.09358750000000016,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,1,2681,552,0,,,,,58,443  >  63074 [ACK] Seq=1 Ack=2681 Win=552 Len=0,HTTP_Burst,Anomalous
