Packet_No,Time,Inter_Arrival_Time,Source_IP,Destination_IP,Protocol,Src_Port,Dst_Port,TCP_Flags,TCP_Anomaly_Flag,Is_TCP_Retransmission_Event,Seq,Ack,Win,Payload_Len,DNS_Query_Type,DNS_Query_Name,TLS_SNI,ARP_Target_IP,Packet_Length,Packet_Info,Attack_Type,Label
1,0.0,0.0,20.42.65.89,10.33.33.87,TCP,443,57603,ACK,,False,1,1,16388,1340,,,,,1398,443  >  57603 [ACK] Seq=1 Ack=1 Win=16388 Len=1340 [TCP PDU reassembled in 5],Large_Download,Anomalous
2,0.000129,0.000129,20.42.65.89,10.33.33.87,TCP,443,57603,ACK,,False,1341,1,16388,1340,,,,,1398,443  >  57603 [ACK] Seq=1341 Ack=1 Win=16388 Len=1340 [TCP PDU reassembled in 5],Large_Download,Anomalous
3,0.000176,4.7000000000000004e-05,10.33.33.87,20.42.65.89,TCP,57603,443,ACK,,False,1,2681,255,0,,,,,54,57603  >  443 [ACK] Seq=1 Ack=2681 Win=255 Len=0,Large_Download,Anomalous
4,0.0004012,0.0002252,20.42.65.89,10.33.33.87,TCP,443,57603,ACK,,False,2681,1,16388,1340,,,,,1398,443  >  57603 [ACK] Seq=2681 Ack=1 Win=16388 Len=1340 [TCP PDU reassembled in 5],Large_Download,Anomalous
5,0.0004034,2.1999999999999993e-06,20.42.65.89,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,273,"Server Hello, Certificate, Server Key Exchange, Server Hello Done",Large_Download,Anomalous
6,0.0004813,7.79e-05,10.33.33.87,20.42.65.89,TCP,57603,443,ACK,,False,1,4236,255,0,,,,,54,57603  >  443 [ACK] Seq=1 Ack=4236 Win=255 Len=0,Large_Download,Anomalous
7,0.0105693,0.010088,10.33.33.87,20.42.65.89,TLSV1.2,,,,,False,,,,,,,,,212,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message",Large_Download,Anomalous
8,0.3050221,0.2944528,20.42.65.89,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,109,"Change Cipher Spec, Encrypted Handshake Message",Large_Download,Anomalous
9,0.3051472,0.0001250999999999891,20.42.65.89,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,127,Application Data,Large_Download,Anomalous
10,0.3051849,3.7699999999973866e-05,10.33.33.87,20.42.65.89,TCP,57603,443,ACK,,False,159,4356,255,0,,,,,54,57603  >  443 [ACK] Seq=159 Ack=4356 Win=255 Len=0,Large_Download,Anomalous
11,0.3130454,0.007860499999999992,10.33.33.87,20.42.65.89,TLSV1.2,,,,,False,,,,,,,,,141,Application Data,Large_Download,Anomalous
12,0.3133142,0.00026880000000001347,10.33.33.87,20.42.65.89,TCP,57603,443,ACK,,False,246,4356,255,1340,,,,,1394,57603  >  443 [ACK] Seq=246 Ack=4356 Win=255 Len=1340 [TCP PDU reassembled in 13],Large_Download,Anomalous
13,0.3133142,0.0,10.33.33.87,20.42.65.89,TLSV1.2,,,,,False,,,,,,,,,264,Application Data,Large_Download,Anomalous
14,0.3135609,0.0002466999999999886,10.33.33.87,20.42.65.89,TLSV1.2,,,,,False,,,,,,,,,92,Application Data,Large_Download,Anomalous
15,0.3138129,0.00025200000000003,10.33.33.87,20.42.65.89,TCP,57603,443,ACK,,False,1834,4356,255,1340,,,,,1394,57603  >  443 [ACK] Seq=1834 Ack=4356 Win=255 Len=1340 [TCP PDU reassembled in 20],Large_Download,Anomalous
16,0.3138129,0.0,10.33.33.87,20.42.65.89,TCP,57603,443,ACK,,False,3174,4356,255,1340,,,,,1394,57603  >  443 [ACK] Seq=3174 Ack=4356 Win=255 Len=1340 [TCP PDU reassembled in 20],Large_Download,Anomalous
17,0.3138129,0.0,10.33.33.87,20.42.65.89,TCP,57603,443,ACK,,False,4514,4356,255,1340,,,,,1394,57603  >  443 [ACK] Seq=4514 Ack=4356 Win=255 Len=1340 [TCP PDU reassembled in 20],Large_Download,Anomalous
18,0.3138129,0.0,10.33.33.87,20.42.65.89,TCP,57603,443,ACK,,False,5854,4356,255,1340,,,,,1394,57603  >  443 [ACK] Seq=5854 Ack=4356 Win=255 Len=1340 [TCP PDU reassembled in 20],Large_Download,Anomalous
19,0.3138129,0.0,10.33.33.87,20.42.65.89,TCP,57603,443,ACK,,False,7194,4356,255,1340,,,,,1394,57603  >  443 [ACK] Seq=7194 Ack=4356 Win=255 Len=1340 [TCP PDU reassembled in 20],Large_Download,Anomalous
20,0.3138129,0.0,10.33.33.87,20.42.65.89,TLSV1.2,,,,,False,,,,,,,,,1096,Application Data,Large_Download,Anomalous
21,0.602463,0.28865009999999997,20.42.65.89,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,96,Application Data,Large_Download,Anomalous
22,0.6145541,0.012091100000000021,20.42.65.89,10.33.33.87,TCP,443,57603,ACK,,False,4394,1586,16388,0,,,,,58,443  >  57603 [ACK] Seq=4394 Ack=1586 Win=16388 Len=0,Large_Download,Anomalous
23,0.6145556,1.4999999999876223e-06,20.42.65.89,10.33.33.87,TCP,443,57603,ACK,,False,4394,1796,16388,0,,,,,58,443  >  57603 [ACK] Seq=4394 Ack=1796 Win=16388 Len=0,Large_Download,Anomalous
24,0.6145563,7.000000000756401e-07,20.42.65.89,10.33.33.87,TCP,443,57603,ACK,,False,4394,3174,16388,0,,,,,58,443  >  57603 [ACK] Seq=4394 Ack=3174 Win=16388 Len=0,Large_Download,Anomalous
25,0.6147787,0.00022239999999995597,20.42.65.89,10.33.33.87,TCP,443,57603,ACK,,False,4394,4514,16388,0,,,,,58,443  >  57603 [ACK] Seq=4394 Ack=4514 Win=16388 Len=0,Large_Download,Anomalous
26,0.6151219,0.00034319999999998796,20.42.65.89,10.33.33.87,TCP,443,57603,ACK,,False,4394,9576,16388,0,,,,,58,443  >  57603 [ACK] Seq=4394 Ack=9576 Win=16388 Len=0,Large_Download,Anomalous
